Время	Канал A	A * B
(mс)	(В)	(?)

1.74756387	0.20831940	0.01955615
1.74820387	0.24439220	0.00814348
1.74884387	0.22632530	-0.00381273
1.74948387	0.22632530	-0.01377968
1.75012387	0.22632530	-0.02574280
1.75076387	0.22632530	-0.03570976
1.75140387	0.22632530	-0.04567672
1.75204387	0.22632530	-0.05564368
1.75268387	0.22632530	-0.06561064
1.75332387	0.22632530	-0.07358144
1.75396387	0.22632530	-0.08155915
1.75460387	0.22632530	-0.08754071
1.75524387	0.22632530	-0.09352227
1.75588387	0.22632530	-0.09949692
1.75652387	0.22632530	-0.10348920
1.75716387	0.22632530	-0.10747460
1.75780387	0.22632530	-0.10946390
1.75844387	0.22632530	-0.10946390
1.75908387	0.22632530	-0.10946390
1.75972387	0.22632530	-0.10747460
1.76036387	0.22632530	-0.10547850
1.76100387	0.22632530	-0.10348920
1.76164387	0.22632530	-0.09750767
1.76228387	0.22632530	-0.09152611
1.76292387	0.22632530	-0.07873883
1.76356387	0.20831940	-0.07956300
1.76420387	0.22632530	-0.06959604
1.76484387	0.22632530	-0.06162524
1.76548387	0.22632530	-0.05364752
1.76612387	0.22632530	-0.04169131
1.76676387	0.22632530	-0.03172436
1.76740387	0.22632530	-0.02175740
1.76804387	0.22632530	-0.01179044
1.76868387	0.22632530	0.00017268
1.76932387	0.22632530	0.01013273
1.76996387	0.22632530	0.02209585
1.77060387	0.22632530	0.03206280
1.77124387	0.22632530	0.04401901
1.77188387	0.22632530	0.05399288
1.77252387	0.22632530	0.06196368
1.77316387	0.22632530	0.07193064
1.77380387	0.22632530	0.07990145
1.77444387	0.22632530	0.08588301
1.77508387	0.22632530	0.09386072
1.77572387	0.22632530	0.09784612
1.77636387	0.22632530	0.10382770
1.77700387	0.22632530	0.10581690
1.77764387	0.22632530	0.10781310
1.77828387	0.22632530	0.10980920
1.77892387	0.22632530	0.11857500
1.77956387	0.24439220	0.10781310
1.78020387	0.22632530	0.10581690
1.78084387	0.22632530	0.10382770
1.78148387	0.22632530	0.09984228
1.78212387	0.22632530	0.09386072
1.78276387	0.22632530	0.09489433
1.78340387	0.24439220	0.07990145
1.78404387	0.22632530	0.07767268
1.78468387	0.24439220	0.06395984
1.78532387	0.22632530	0.05399288
1.78596387	0.22632530	0.04753293
1.78660387	0.24439220	0.03405205
1.78724387	0.22632530	0.02408509
1.78788387	0.22632530	0.01524515
1.78852387	0.24439220	0.00234197
1.78916387	0.24439220	-0.00842063
1.78980387	0.24439220	-0.02133873
1.79044387	0.24439220	-0.03210133
1.79108387	0.24439220	-0.04501943
1.79172387	0.24439220	-0.05362652
1.79236387	0.24439220	-0.06438912
1.79300387	0.24439220	-0.07515171
1.79364387	0.24439220	-0.08376627
1.79428387	0.24439220	-0.09237336
1.79492387	0.24439220	-0.09883241
1.79556387	0.24439220	-0.10529150
1.79620387	0.24439220	-0.10959500
1.79684387	0.24439220	-0.11389850
1.79748387	0.24439220	-0.11605410
1.79812387	0.24439220	-0.11820210
1.79876387	0.24439220	-0.11820210
1.79940387	0.24439220	-0.11820210
1.80004387	0.24439220	-0.11605410
1.80068387	0.24439220	-0.11175050
1.80132387	0.24439220	-0.10959500
1.80196387	0.24439220	-0.10313600
