Частота	A * B
(kГц)	(?)

9.20295715	0.14556510
9.22679901	0.04144793
9.25064087	0.03873569
9.27448273	0.08346350
9.29832458	0.12448760
9.32216644	0.07959327
9.34600830	0.06165329
9.36985016	0.07148324
9.39369202	0.06080068
9.41753387	0.06057103
9.44137573	0.02478945
9.46521759	0.04549504
9.48905945	0.06339963
9.51290131	0.04330870
9.53674316	0.02404967
9.56058502	0.09587879
9.58442688	0.15536360
9.60826874	0.09688632
9.63211060	0.05764561
9.65595245	0.40705100
9.67979431	1.32211400
9.70363617	1.40700400
9.72747803	0.51231930
9.75131989	0.02982273
9.77516174	0.07003117
9.79900360	0.11571220
9.82284546	0.04868682
9.84668732	0.03940313
9.87052917	0.06021873
9.89437103	0.09788010
9.91821289	0.12837560
9.94205475	0.07242418
9.96589661	0.05602566
9.98973846	0.03991671
10.01358032	0.07728057
10.03742218	0.04730062
10.06126404	0.04399611
10.08510590	0.20795380
10.10894775	0.28707830
10.13278961	0.14469000
10.15663147	0.08136264
10.18047333	0.24606350
10.20431519	0.29633870
10.22815704	0.12976570
10.25199890	0.08067223
10.27584076	0.40242450
10.29968262	0.96955640
10.32352448	0.81088420
10.34736633	0.22589950
10.37120819	0.10855130
10.39505005	0.24156280
10.41889191	0.21936400
10.44273376	0.11860000
10.46657562	0.09395444
10.49041748	0.08667874
10.51425934	0.10899190
10.53810120	0.12015360
10.56194305	0.06350169
10.58578491	0.04559986
10.60962677	0.01776239
10.63346863	0.02739239
10.65731049	0.04803829
10.68115234	0.06042975
10.70499420	0.25194340
10.72883606	0.31294140
10.75267792	0.14570870
10.77651978	0.15737430
10.80036163	0.36296900
10.82420349	0.33721140
10.84804535	0.09625538
10.87188721	0.00870599
10.89572906	0.18401040
10.91957092	0.36218020
10.94341278	0.25636920
10.96725464	0.09249086
10.99109650	0.20980130
11.01493835	0.29469920
11.03878021	0.16170320
11.06262207	0.09474421
11.08646393	0.08662859
11.11030579	0.05942516
11.13414764	0.04158019
11.15798950	0.04869340
11.18183136	0.05279220
11.20567322	0.06717662
11.22951508	0.06585198
11.25335693	0.10549140
11.27719879	0.10484970
11.30104065	0.12503180
11.32488251	0.25600070
11.34872437	0.25423900
11.37256622	0.11017420
11.39640808	0.11507210
11.42024994	0.17845510
11.44409180	0.11804060
11.46793365	0.00867329
11.49177551	0.07937993
11.51561737	0.36270250
11.53945923	0.52547420
11.56330109	0.28138790
11.58714294	0.09801108
11.61098480	0.23429370
11.63482666	0.25610540
11.65866852	0.08278568
11.68251038	0.03055827
11.70635223	0.02080858
11.73019409	0.03433618
11.75403595	0.08724042
11.77787781	0.08242791
11.80171967	0.11771060
11.82556152	0.13756080
11.84940338	0.08465673
11.87324524	0.09549989
11.89708710	0.09714883
11.92092896	0.15075860
11.94477081	0.19704090
11.96861267	0.11307260
11.99245453	0.13062300
12.01629639	0.62888650
12.04013824	1.02483500
12.06398010	0.59108080
12.08782196	0.12416540
12.11166382	0.09770112
12.13550568	0.26867940
12.15934753	0.30731660
12.18318939	0.12792660
12.20703125	0.05847614
12.23087311	0.14900620
12.25471497	0.15716250
12.27855682	0.06447095
12.30239868	0.05177565
12.32624054	0.07387097
12.35008240	0.08498500
12.37392426	0.10609660
12.39776611	0.07919009
12.42160797	0.11632890
12.44544983	0.11082170
12.46929169	0.05212069
12.49313354	0.03669987
12.51697540	0.01478130
12.54081726	0.04890454
12.56465912	0.03872189
12.58850098	0.04031608
12.61234283	0.85902180
12.63618469	3.56204500
12.66002655	4.56676800
12.68386841	2.04657000
12.70771027	0.19546540
12.73155212	0.07156862
12.75539398	0.11625470
12.77923584	0.09826149
12.80307770	0.02236724
12.82691956	0.04251992
12.85076141	0.08069964
12.87460327	0.03770979
12.89844513	0.03546048
12.92228699	0.07126924
12.94612885	0.08562699
12.96997070	0.06770372
12.99381256	0.06851718
13.01765442	0.04650605
13.04149628	0.07979012
13.06533813	0.07005141
13.08917999	0.03416680
13.11302185	0.01787592
13.13686371	0.12338980
13.16070557	0.24231040
13.18454742	0.19963460
13.20838928	0.08204937
13.23223114	0.22635050
13.25607300	0.64439050
13.27991486	0.64074150
13.30375671	0.20975420
13.32759857	0.05055615
13.35144043	0.05692331
13.37528229	0.07216315
13.39912415	0.03665296
13.42296600	0.06696814
13.44680786	0.35286520
13.47064972	0.52309910
13.49449158	0.27678350
13.51833344	0.07868063
13.54217529	0.09356234
13.56601715	0.09195239
13.58985901	0.07728104
13.61370087	0.05767747
13.63754272	0.04157998
13.66138458	0.06537977
13.68522644	0.05175996
13.70906830	0.02245799
13.73291016	0.04282501
13.75675201	0.26133670
13.78059387	0.41801130
13.80443573	0.23059720
13.82827759	0.07461363
13.85211945	0.18774200
13.87596130	0.41967190
13.89980316	0.33381820
13.92364502	0.08859770
13.94748688	0.02415384
13.97132874	0.03497572
13.99517059	0.04120935
14.01901245	0.03892932
14.04285431	0.31392740
14.06669617	0.97176250
14.09053802	1.03759900
14.11437988	0.39445110
14.13822174	0.09812159
14.16206360	0.10724650
14.18590546	0.07243514
14.20974731	0.03419498
14.23358917	0.03119306
14.25743103	0.06480234
14.28127289	0.08857661
14.30511475	0.06041085
14.32895660	0.07665282
14.35279846	0.04257331
14.37664032	0.29210250
14.40048218	0.37926970
14.42432404	0.16369680
14.44816589	0.06683894
14.47200775	0.06989454
14.49584961	0.13325110
14.51969147	0.09399323
14.54353333	0.04815402
14.56737518	0.05044311
14.59121704	0.13108620
14.61505890	0.15907710
14.63890076	0.13144550
14.66274261	1.17354700
14.68658447	2.69215200
14.71042633	2.16068500
14.73426819	0.53244700
14.75811005	0.05432261
14.78195190	0.04006991
14.80579376	0.01548962
14.82963562	0.05046528
14.85347748	0.10571630
14.87731934	0.26286960
14.90116119	0.26946070
14.92500305	0.11229200
14.94884491	0.39168870
14.97268677	2.71795700
14.99652863	5.44768200
15.02037048	3.90384200
15.04421234	0.85976670
15.06805420	0.00735537
15.09189606	0.11660700
15.11573792	0.18492740
15.13957977	0.11324410
15.16342163	0.08957292
15.18726349	0.08747556
15.21110535	0.15493910
15.23494720	0.14611450
15.25878906	0.18938940
15.28263092	0.92937760
15.30647278	1.60807100
15.33031464	0.99505750
15.35415649	0.20172710
15.37799835	0.10427960
15.40184021	0.11436740
15.42568207	0.07575212
15.44952393	0.09543616
15.47336578	0.17747400
15.49720764	0.37867280
15.52104950	0.30302340
15.54489136	0.08393548
15.56873322	0.02801731
15.59257507	0.23938570
15.61641693	0.37237830
15.64025879	0.21061470
15.66410065	0.07111638
15.68794250	0.07587746
15.71178436	0.20566640
15.73562622	0.22936690
15.75946808	0.10743190
15.78330994	0.08433220
15.80715179	0.06034807
15.83099365	0.07494354
15.85483551	0.05820533
15.87867737	0.02274771
15.90251923	0.14919360
15.92636108	0.22355620
15.95020294	0.13185950
15.97404480	0.08006314
15.99788666	0.16641750
16.02172852	0.15268340
16.04557037	0.08147207
16.06941223	0.07337215
16.09325409	0.13906320
16.11709595	0.23374190
16.14093781	0.15241640
16.16477966	0.01882579
16.18862152	0.04549909
16.21246338	0.08608360
16.23630524	0.06125030
16.26014709	0.03898665
16.28398895	0.07071404
16.30783081	0.08244073
16.33167267	0.14833010
16.35551453	0.11663930
16.37935638	0.04060444
16.40319824	0.03826622
16.42704010	0.03147812
16.45088196	0.01411782
16.47472382	0.03179407
16.49856567	0.17477390
16.52240753	0.46955400
16.54624939	0.46357560
16.57009125	0.16571070
16.59393311	0.07973066
16.61777496	0.15150630
16.64161682	0.11618600
16.66545868	0.04391214
16.68930054	0.00620432
16.71314240	0.12989990
16.73698425	0.20122130
16.76082611	0.11622910
16.78466797	0.04554021
16.80850983	0.17255240
16.83235168	0.30237550
16.85619354	0.17546730
16.88003540	0.05241811
16.90387726	0.05842358
16.92771912	0.06587629
16.95156097	0.09387141
16.97540283	0.05828226
16.99924469	0.02094660
17.02308655	0.03166080
17.04692841	0.04310608
17.07077026	0.03854711
17.09461212	0.05307709
17.11845398	0.25835200
17.14229584	0.51312260
17.16613770	0.36749100
17.18997955	0.07581324
17.21382141	0.10920420
17.23766327	0.17294420
17.26150513	0.10007230
17.28534698	0.02017538
17.30918884	0.26335400
17.33303070	0.90800780
17.35687256	0.99727760
17.38071442	0.37780580
17.40455627	0.11008250
17.42839813	0.26663340
17.45223999	0.31272940
17.47608185	0.16042240
17.49992371	0.07081772
17.52376556	0.05889971
17.54760742	0.04520217
17.57144928	0.04664185
17.59529114	0.02281020
17.61913300	0.02551076
17.64297485	0.02765573
17.66681671	0.05682012
17.69065857	0.07260786
17.71450043	0.06320343
17.73834229	0.19249270
17.76218414	0.33986180
17.78602600	0.19735450
17.80986786	0.05607523
17.83370972	0.08835571
17.85755157	0.09298109
17.88139343	0.03754882
17.90523529	0.04746475
17.92907715	0.55320040
17.95291901	1.38199900
17.97676086	1.18336100
18.00060272	0.33462240
18.02444458	0.13101090
18.04828644	0.21501990
18.07212830	0.15124170
18.09597015	0.06956575
18.11981201	0.04471550
18.14365387	0.01682493
18.16749573	0.04047271
18.19133759	0.06069373
18.21517944	0.07329822
18.23902130	0.11676960
18.26286316	0.09546449
18.28670502	0.11309560
18.31054688	0.10308050
18.33438873	0.08869787
18.35823059	0.10319530
18.38207245	0.14191290
18.40591431	0.07826731
18.42975616	0.09346651
18.45359802	0.23742370
18.47743988	0.22217380
18.50128174	0.08493169
18.52512360	0.09410863
18.54896545	0.42330920
18.57280731	0.81735340
18.59664917	0.55585580
18.62049103	0.13624810
18.64433289	0.06824958
18.66817474	0.06334464
18.69201660	0.03985813
18.71585846	0.04483786
18.73970032	0.06893127
18.76354218	0.06316062
18.78738403	0.12345810
18.81122589	0.12623140
18.83506775	0.11139440
18.85890961	0.14588100
18.88275146	0.09024668
18.90659332	0.07363061
18.93043518	0.05608866
18.95427704	0.04928298
18.97811890	0.03380423
19.00196075	0.03690054
19.02580261	0.06913999
19.04964447	0.39063790
19.07348633	0.84688780
19.09732819	0.64264730
19.12117004	0.16704230
19.14501190	0.09064470
19.16885376	0.19312470
19.19269562	0.30274240
19.21653748	0.17217990
19.24037933	0.07287502
19.26422119	0.10070600
19.28806305	0.09041037
19.31190491	0.07081027
19.33574677	0.08001452
19.35958862	0.10499730
19.38343048	0.08117056
19.40727234	0.11736300
19.43111420	0.09089848
19.45495605	0.06938183
19.47879791	0.06730454
19.50263977	0.02582552
19.52648163	0.01825618
19.55032349	0.04152583
19.57416534	0.08599339
19.59800720	0.18254760
19.62184906	0.15448590
19.64569092	0.18805550
19.66953278	1.16949000
19.69337463	1.96199700
19.71721649	1.16994800
19.74105835	0.18954120
19.76490021	0.02578530
19.78874207	0.04002341
19.81258392	0.04754158
19.83642578	0.03872443
19.86026764	0.12864480
19.88410950	0.30829020
19.90795135	0.25738750
19.93179321	0.07120241
19.95563507	0.06788915
19.97947693	0.10262990
20.00331879	0.07874187
20.02716064	0.02203571
20.05100250	0.01045260
20.07484436	0.02203772
20.09868622	0.03631856
20.12252808	0.04720587
20.14636993	0.05694687
20.17021179	0.11421280
20.19405365	0.27108760
20.21789551	0.31629850
20.24173737	0.15003710
20.26557922	0.20615530
20.28942108	0.76663640
20.31326294	0.99468990
20.33710480	0.44605140
20.36094666	0.02617488
20.38478851	0.06293632
20.40863037	0.13339300
20.43247223	0.10921020
20.45631409	0.04959753
20.48015594	0.27455190
20.50399780	0.54142620
20.52783966	0.38203740
20.55168152	0.09281005
