Время	Канал A	A * B
(mс)	(В)	(?)

1.63512387	0.51545760	0.22284530
1.63576387	0.51545760	0.20922230
1.63640387	0.51545760	0.21256510
1.63704387	0.56016730	0.18197620
1.63768387	0.51545760	0.16382260
1.63832387	0.51545760	0.14566900
1.63896387	0.51545760	0.11842300
1.63960387	0.51545760	0.10025360
1.64024387	0.51545760	0.07082698
1.64088387	0.47074800	0.05032346
1.64152387	0.51545760	0.02762363
1.64216387	0.51545760	0.00035916
1.64280387	0.47074800	-0.02037174
1.64344387	0.47074800	-0.04525456
1.64408387	0.47074800	-0.06598546
1.64472387	0.47074800	-0.08671636
1.64536387	0.47074800	-0.10744730
1.64600387	0.47074800	-0.12817820
1.64664387	0.47074800	-0.14890910
1.64728387	0.47074800	-0.16548800
1.64792387	0.47074800	-0.17792940
1.64856387	0.47074800	-0.19037090
1.64920387	0.47074800	-0.18348430
1.64984387	0.42588580	-0.19098380
1.65048387	0.42588580	-0.21939120
1.65112387	0.47074800	-0.22354320
1.65176387	0.47074800	-0.22768070
1.65240387	0.47074800	-0.20598280
1.65304387	0.42588580	-0.20598280
1.65368387	0.42588580	-0.20223950
1.65432387	0.42588580	-0.19474000
1.65496387	0.42588580	-0.18722750
1.65560387	0.42588580	-0.17598480
1.65624387	0.42588580	-0.16472900
1.65688387	0.42588580	-0.15347330
1.65752387	0.42588580	-0.13846130
1.65816387	0.42588580	-0.12346230
1.65880387	0.42588580	-0.10470710
1.65944387	0.42588580	-0.08595181
1.66008387	0.42588580	-0.06719656
1.66072387	0.42588580	-0.04844131
1.66136387	0.42588580	-0.02968606
1.66200387	0.42588580	-0.00642138
1.66264387	0.38117620	0.01532394
1.66328387	0.42588580	0.03407918
1.66392387	0.42588580	0.05657768
1.66456387	0.42588580	0.07533292
1.66520387	0.42588580	0.09034492
1.66584387	0.42588580	0.09764680
1.66648387	0.38117620	0.11443310
1.66712387	0.38117620	0.12785750
1.66776387	0.38117620	0.14129360
1.66840387	0.38117620	0.15135600
1.66904387	0.38117620	0.16143020
1.66968387	0.38117620	0.16815400
1.67032387	0.38117620	0.17486620
1.67096387	0.38117620	0.17821650
1.67160387	0.38117620	0.18494030
1.67224387	0.38117620	0.16324800
1.67288387	0.33646660	0.16324800
1.67352387	0.33646660	0.17821650
1.67416387	0.38117620	0.17486620
1.67480387	0.38117620	0.17150430
1.67544387	0.38117620	0.14249540
1.67608387	0.33646660	0.13064560
1.67672387	0.33646660	0.13793160
1.67736387	0.38117620	0.10990330
1.67800387	0.33646660	0.09804324
1.67864387	0.33646660	0.08619343
1.67928387	0.33646660	0.07137606
1.67992387	0.33646660	0.05655867
1.68056387	0.33646660	0.04174128
1.68120387	0.33646660	0.02395632
1.68184387	0.33646660	0.00914920
1.68248387	0.33646660	-0.00566819
1.68312387	0.33646660	-0.02345316
1.68376387	0.33646660	-0.03827054
1.68440387	0.33646660	-0.05605551
1.68504387	0.33646660	-0.06142318
1.68568387	0.29160440	-0.08569029
1.68632387	0.33646660	-0.09754009
1.68696387	0.33646660	-0.11235750
1.68760387	0.33646660	-0.12125000
1.68824387	0.33646660	-0.11535310
1.68888387	0.29160440	-0.12305990
1.68952387	0.29160440	-0.12819490
1.69016387	0.29160440	-0.15385230
1.69080387	0.33646660	-0.15977720
1.69144387	0.33646660	-0.16273450
1.69208387	0.33646660	-0.14103660
1.69272387	0.29160440	-0.14103660
1.69336387	0.29160440	-0.13847360
1.69400387	0.29160440	-0.13590170
1.69464387	0.29160440	-0.13333870
1.69528387	0.29160440	-0.12563190
1.69592387	0.29160440	-0.11792500
1.69656387	0.29160440	-0.11021820
1.69720387	0.29160440	-0.09994838
1.69784387	0.29160440	-0.08966966
1.69848387	0.29160440	-0.07939983
1.69912387	0.29160440	-0.06655809
1.69976387	0.29160440	-0.04548041
1.70040387	0.24689470	-0.03243004
1.70104387	0.24689470	-0.02155723
1.70168387	0.24689470	-0.01068443
1.70232387	0.24689470	0.00236595
1.70296387	0.24689470	0.01562722
1.70360387	0.29160440	0.02627406
1.70424387	0.24689470	0.03714686
1.70488387	0.24689470	0.05671543
1.70552387	0.29160440	0.05890000
1.70616387	0.24689470	0.08240780
1.70680387	0.29160440	0.07846802
1.70744387	0.24689470	0.08716326
1.70808387	0.24689470	0.09368845
1.70872387	0.24689470	0.10239120
1.70936387	0.24689470	0.10673880
1.71000387	0.24689470	0.11108640
1.71064387	0.24689470	0.11543410
1.71128387	0.24689470	0.11978920
1.71192387	0.24689470	0.11978920
1.71256387	0.24689470	0.11978920
1.71320387	0.24689470	0.11761160
1.71384387	0.24689470	0.11543410
1.71448387	0.24689470	0.11108640
1.71512387	0.24689470	0.10673880
1.71576387	0.24689470	0.10021360
1.71640387	0.24689470	0.09368845
1.71704387	0.24689470	0.08499322
1.71768387	0.24689470	0.07846802
1.71832387	0.24689470	0.06759522
1.71896387	0.24689470	0.05890000
1.71960387	0.24689470	0.04801966
1.72024387	0.24689470	0.03497682
1.72088387	0.24689470	0.02410402
1.72152387	0.24689470	0.01323121
1.72216387	0.24689470	0.00018837
1.72280387	0.24689470	-0.01068443
1.72344387	0.24689470	-0.02373481
1.72408387	0.24689470	-0.03460761
1.72472387	0.24689470	-0.04548041
1.72536387	0.24689470	-0.05635322
1.72600387	0.24689470	-0.06722602
1.72664387	0.24689470	-0.07592124
1.72728387	0.24689470	-0.08462401
1.72792387	0.24689470	-0.09331924
1.72856387	0.24689470	-0.09984443
1.72920387	0.24689470	-0.10636960
1.72984387	0.24689470	-0.11071720
1.73048387	0.24689470	-0.11506480
1.73112387	0.24689470	-0.11941250
1.73176387	0.24689470	-0.11941250
1.73240387	0.24689470	-0.11941250
1.73304387	0.24689470	-0.11941250
1.73368387	0.24689470	-0.09422801
1.73432387	0.20218510	-0.11289480
1.73496387	0.24689470	-0.10853970
1.73560387	0.24689470	-0.08354706
1.73624387	0.20218510	-0.09549681
1.73688387	0.24689470	-0.07285995
1.73752387	0.20218510	-0.06573315
1.73816387	0.20218510	-0.05682928
1.73880387	0.20218510	-0.04970865
1.73944387	0.20218510	-0.04080478
1.74008387	0.20218510	-0.03895522
1.74072387	0.24689470	-0.02299704
1.74136387	0.20218510	-0.01230993
1.74200387	0.20218510	-0.00340606
1.74264387	0.20218510	0.00727489
1.74328387	0.20218510	0.01617876
1.74392387	0.20218510	0.02685970
1.74456387	0.20218510	0.03576357
1.74520387	0.20218510	0.04466744
1.74584387	0.20218510	0.05357131
1.74648387	0.20218510	0.06069811
1.74712387	0.20218510	0.06781874
1.74776387	0.20218510	0.07494554
1.74840387	0.20218510	0.08028293
