Время	A * B
(mс)	(?)

-0.89649164	-0.01157679
-0.89617164	-0.01256346
-0.89585164	-0.01355014
-0.89553164	-0.01453767
-0.89521164	-0.01527811
-0.89489164	-0.01626479
-0.89457164	-0.01725232
-0.89425164	-0.01774566
-0.89393164	-0.01848609
-0.89361164	-0.01922567
-0.89329164	-0.01971987
-0.89297164	-0.02021320
-0.89265164	-0.02070654
-0.89233164	-0.02119988
-0.89201164	-0.02144698
-0.89169164	-0.02169407
-0.89137164	-0.02194032
-0.89105164	-0.02218741
-0.89073164	-0.02243366
-0.89041164	-0.02243366
-0.89009164	-0.02243366
-0.88977164	-0.02243366
-0.88945164	-0.02243366
-0.88913164	-0.02218741
-0.88881164	-0.02194032
-0.88849164	-0.02169407
-0.88817164	-0.02144698
-0.88785164	-0.02095364
-0.88753164	-0.02046030
-0.88721164	-0.01996611
-0.88689164	-0.01947277
-0.88657164	-0.01873233
-0.88625164	-0.01799190
-0.88593164	-0.01749856
-0.88561164	-0.01651188
-0.88529164	-0.00563511
-0.88497164	-0.01478477
-0.88465164	-0.01404433
-0.88433164	-0.01305680
-0.88401164	-0.01207012
-0.88369164	-0.01108259
-0.88337164	-0.01009591
-0.88305164	-0.00910838
-0.88273164	-0.00762837
-0.88241164	-0.00664083
-0.88209164	-0.00565416
-0.88177164	-0.00442038
-0.88145164	-0.00318661
-0.88113164	-0.00195284
-0.88081164	-0.00071906
-0.88049164	0.00051471
-0.88017164	0.00174763
-0.87985164	0.00298141
-0.87953164	0.00396894
-0.87921164	0.00520271
-0.87889164	0.00643649
-0.87857164	0.00767026
-0.87825164	0.00890404
-0.87793164	0.01013781
-0.87761164	0.01112449
-0.87729164	0.01235912
-0.87697164	0.01334579
-0.87665164	0.01433247
-0.87633164	0.01532000
-0.87601164	0.01655378
-0.87569164	0.01729421
-0.87537164	0.01828089
-0.87505164	0.01902133
-0.87473164	0.02000800
-0.87441164	0.02074844
-0.87409164	0.02148887
-0.87377164	0.02198221
-0.87345164	0.02296975
-0.87313164	0.02346308
-0.87281164	0.02371018
-0.87249164	0.02444976
-0.87217164	0.02469686
-0.87185164	0.02494395
-0.87153164	0.02543729
-0.87121164	0.02543729
-0.87089164	0.02568353
-0.87057164	0.02568353
-0.87025164	0.02568353
-0.86993164	0.00926498
-0.86961164	0.02568353
-0.86929164	0.02568353
-0.86897164	0.02543729
-0.86865164	0.02519020
-0.86833164	0.00891244
-0.86801164	0.02444976
-0.86769164	0.00855959
-0.86737164	0.02371018
-0.86705164	0.02296975
-0.86673164	0.02247641
-0.86641164	0.02173597
-0.86609164	0.02099553
-0.86577164	0.02025510
-0.86545164	0.01951467
-0.86513164	0.01852799
-0.86481164	0.01803465
-0.86449164	0.01680087
-0.86417164	0.01581334
-0.86385164	0.01507291
-0.86353164	0.01383913
-0.86321164	0.00459216
-0.86289164	0.01186492
-0.86257164	0.01063115
-0.86225164	0.00939737
-0.86193164	0.00816360
-0.86161164	0.00692983
-0.86129164	0.00594315
-0.86097164	0.00470938
-0.86065164	0.00347560
-0.86033164	0.00224183
-0.86001164	0.00100805
-0.85969164	-0.00022572
-0.85937164	-0.00145950
-0.85905164	-0.00269327
-0.85873164	-0.00392704
-0.85841164	-0.00491372
-0.85809164	-0.00614750
-0.85777164	-0.00713503
-0.85745164	-0.00836880
-0.85713164	-0.00334270
-0.85681164	-0.01058925
-0.85649164	-0.01157679
-0.85617164	-0.01256346
-0.85585164	-0.01355014
-0.85553164	-0.01453767
-0.85521164	-0.01527811
-0.85489164	-0.00581138
-0.85457164	-0.01700522
-0.85425164	-0.01774566
-0.85393164	-0.01848609
-0.85361164	-0.01897943
-0.85329164	-0.01971987
-0.85297164	-0.02021320
-0.85265164	-0.02070654
-0.85233164	-0.02119988
-0.85201164	-0.02169407
-0.85169164	-0.02169407
-0.85137164	-0.02218741
-0.85105164	-0.02243366
-0.85073164	-0.02243366
-0.85041164	-0.02243366
-0.85009164	-0.02268075
-0.84977164	-0.02243366
-0.84945164	-0.00810380
-0.84913164	-0.02243366
-0.84881164	-0.02194032
-0.84849164	-0.02144698
-0.84817164	-0.02144698
-0.84785164	-0.02095364
-0.84753164	-0.02070654
-0.84721164	-0.01996611
-0.84689164	-0.01922567
-0.84657164	-0.01873233
-0.84625164	-0.00651677
-0.84593164	-0.01749856
-0.84561164	-0.01651188
-0.84529164	-0.01577145
-0.84497164	-0.01478477
-0.84465164	-0.01404433
-0.84433164	-0.01305680
-0.84401164	-0.01207012
-0.84369164	-0.01108259
-0.84337164	-0.00984882
-0.84305164	-0.00886214
-0.84273164	-0.00787461
-0.84241164	-0.00664083
-0.84209164	-0.00565416
-0.84177164	-0.00417329
-0.84145164	-0.00318661
-0.84113164	-0.00069774
-0.84081164	-0.00025692
-0.84049164	0.00051471
-0.84017164	0.00174763
-0.83985164	0.00298141
-0.83953164	0.00396894
-0.83921164	0.00520271
-0.83889164	0.00668358
-0.83857164	0.00767026
-0.83825164	0.00890404
-0.83793164	0.00989071
-0.83761164	0.01112449
-0.83729164	0.01211202
-0.83697164	0.01334579
-0.83665164	0.01457957
-0.83633164	0.01556624
-0.83601164	0.01655378
-0.83569164	0.00617920
-0.83537164	0.01828089
-0.83505164	0.01902133
-0.83473164	0.02000800
-0.83441164	0.02074844
-0.83409164	0.02148887
-0.83377164	0.02222931
-0.83345164	0.02272265
-0.83313164	0.02346308
-0.83281164	0.02395642
